,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,default
10,115,9,0.611157666,1300,3,6901,685.0,2437.0,117.25,115.03,14,0.8276,0.8136,70132,0.8136,0.8136,0.5577,0.8136,0.8496,0.8421,1382621184.0,96,53,1050624.0,96.0,96.0,96.0,96.0,96.0,0.9057,0,0,0,15,0,0,0.7868,0.80224,0.755167,15.0,0.057183,0.302215,0.8448,0.84464,0.809227,15.0,0.7968,0.80224,0.760373,15.0,0
11,120,9,0.801254733,1300,3,13026,4566.0,982.0,118.14,119.56,14,0.7177,0.7177,0,0.7236,0.7177,0.4852,0.7236,0.8018,0.7946,1407656752.0,89,37,918836.0,89.0,89.0,89.0,89.0,89.0,0.8641,0,0,0,90,0,0,0.74885,0.72593,0.799627,90.0,0.077707,-1.030597,0.8309,0.80162,0.852749,88.0,0.75885,0.72593,0.804891,90.0,0
12,130,9,0.574089931,1300,3,8563,5264.0,3566.0,127.1,129.17,14,0.8051,0.8051,12158352,0.8051,0.8051,0.5797,0.8051,0.819,0.819,1441473000.0,95,57,1092025.0,95.0,95.0,95.0,95.0,95.0,0.9048,0,0,0,81,0,0,0.78255,0.79459,0.773095,81.0,0.225901,-1.428818,0.8195,0.8171,0.856674,76.0,0.79255,0.79459,0.819195,77.0,0
13,119,9,0.445186545,1300,3,2456,8236.0,983.0,122.79,119.79,14,0.7876,0.7607,2228468,0.7236,0.7177,0.5312,0.7807,0.8091,0.7946,1549189180.0,89,41,1005967.0,89.0,89.0,109.7,98.5,89.0,0.8641,0,0,0,70,0,0,0.79885,0.73593,0.798536,70.0,0.11105,-1.742888,0.86455,0.81819,0.853863,70.0,0.82035,0.77463,0.814426,69.0,0
14,116,9,0.092193429,1300,3,83726,3059.0,1731.0,121.9,116.94,14,0.8793,0.8644,704838,0.8644,0.8644,0.6848,0.8718,0.9107,0.8947,1702926720.0,102,60,1290096.0,102.0,102.0,125.72,112.88,102.0,0.9903,0,0,0,60,0,0,0.8322,0.85796,0.816707,60.0,0.069488,-0.946539,0.88535,0.90963,0.85732,59.0,0.8422,0.85796,0.825445,60.0,0
15,123,9,0.466685486,1300,3,9128,6864.0,6316.0,124.28,123.2,14,0.7983,0.7724,6559743,0.7724,0.7724,0.5845,0.7917,0.8407,0.8407,1255603125.0,95,62,1128125.0,95.0,95.0,95.0,95.0,95.0,0.9406,0,0,0,70,0,0,0.7462,0.76516,0.796639,70.0,0.113193,-1.69827,0.80035,0.82663,0.850733,70.0,0.7462,0.76516,0.804506,70.0,0
16,130,9,0.437883057,1300,3,11255,3679.0,2969.0,129.74,130.0,14,0.9292,0.8974,1452127,0.8537,0.8468,0.7569,0.9211,0.9459,0.9211,2207205000.0,105,77,1433250.0,105.0,105.0,138.75,120.19,105.0,0.9459,0,0,0,54,0,0,0.8034,0.83212,0.813783,54.0,0.129254,-1.675873,0.90295,0.93131,0.862226,54.0,0.8787,0.88766,0.825804,54.0,1
17,125,9,0.681168514,1300,3,14184,332.0,1528.0,121.88,124.16,14,0.8319,0.8049,259490,0.8049,0.8049,0.589,0.8049,0.9,0.8534,1250607600.0,99,70,1136916.0,99.0,99.0,99.0,99.0,99.0,0.934,0,0,0,62,0,0,0.82245,0.80441,0.813179,62.0,0.075399,-1.245031,0.89,0.9,0.867844,62.0,0.82245,0.80441,0.823461,62.0,0
18,130,9,0.655731902,1300,3,113,6611.0,2795.0,125.93,128.81,14,0.7881,0.7881,4963974,0.7881,0.7881,0.5372,0.7949,0.8158,0.8017,1335751560.0,93,39,1011933.0,93.0,93.0,93.0,93.0,93.0,0.8378,0,0,0,22,0,0,0.76405,0.77929,0.798741,22.0,0.039878,-1.007784,0.7979,0.80422,0.8418,22.0,0.76405,0.77929,0.803995,22.0,0
19,114,9,0.810727922,1300,3,9836,241.0,1626.0,119.57,114.95,14,0.7966,0.7966,118935,0.7966,0.7966,0.5769,0.8034,0.8868,0.8246,1450915380.0,94,64,1086828.0,94.0,94.0,94.0,94.0,94.0,1.0,0,0,0,20,0,0,0.7783,0.78694,0.75534,20.0,0.076756,-1.151689,0.8634,0.87812,0.81734,20.0,0.7783,0.79694,0.76252,20.0,0
20,129,9,0.417461636,1300,3,13317,7543.0,1801.0,128.89,129.0,14,0.8879,0.8729,2683633,0.8729,0.8729,0.7265,0.8729,0.9115,0.9035,1801026276.0,103,78,1368561.0,103.0,103.0,103.0,103.0,103.0,0.9717,0,0,0,8,0,0,0.84645,0.86561,0.809925,8.0,0.052646,-1.014823,0.90575,0.91035,0.863325,8.0,0.84645,0.86561,0.809925,8.0,0
21,127,9,0.014417059,1300,3,85723,931.0,6317.0,123.83,126.1,14,0.6379,0.6271,84375,0.6271,0.6271,0.3401,0.6325,0.6789,0.6379,845713440.0,74,23,640692.0,74.0,74.0,74.0,74.0,74.0,0.7048,0,0,0,9,0,0,0.66355,0.62439,0.733689,9.0,0.085833,-0.632459,0.70945,0.68101,0.791156,9.0,0.66355,0.62439,0.7393,9.0,0
22,116,9,0.258737047,1300,3,13008,2617.0,152.0,121.0,116.77,14,0.7034,0.7034,77232,0.7034,0.7034,0.4498,0.7094,0.783,0.7281,1131208245.0,83,42,847347.0,83.0,83.0,83.0,83.0,83.0,0.883,0,0,0,6,0,0,0.7117,0.70306,0.7117,6.0,0.041025,1.071693,0.7815,0.7847,0.780433,6.0,0.7117,0.70306,0.712633,6.0,0
23,117,9,0.958125634,1300,3,76973,2039.0,2076.0,120.13,117.27,14,0.5913,0.5862,954067,0.5484,0.5484,0.3007,0.5763,0.6182,0.6071,856198336.0,68,17,550256.0,68.0,68.0,68.0,68.0,68.0,0.7312,0,0,0,4,0,0,0.6342,0.56356,0.67765,4.0,0.077883,-0.937407,0.6991,0.62638,0.752725,4.0,0.6531,0.59758,0.688575,4.0,0
24,116,9,0.035919284,1800,4,77014,3535.0,2304.0,120.82,116.59,14,0.6552,0.6441,0,0.6441,0.6441,0.371,0.6441,0.6909,0.6667,922542720.0,76,25,698896.0,76.0,76.0,76.0,76.0,76.0,0.8085,0,0,0,16,0,0,0.68205,0.64969,0.699944,16.0,0.080374,-0.623102,0.76545,0.70181,0.769206,16.0,0.69205,0.64969,0.709938,16.0,0
25,123,9,0.830775117,1800,4,842,686.0,3750.0,120.56,122.29,14,0.8333,0.813,365865,0.813,0.8065,0.563,0.8333,0.8929,0.885,2047400000.0,100,73,1160000.0,100.0,100.0,123.26,110.67,100.0,0.9901,0,0,0,46,0,0,0.79325,0.80585,0.777361,46.0,0.061972,-1.101829,0.88645,0.89361,0.848998,46.0,0.8265,0.8117,0.7877,46.0,0
26,125,9,0.197708423,1800,4,14694,2040.0,167.0,129.86,126.31,14,0.6613,0.6613,0,0.6667,0.6613,0.4936,0.6667,0.7387,0.7321,1431862352.0,82,40,934636.0,82.0,82.0,82.0,82.0,82.0,0.8454,0,0,0,27,0,0,0.72065,0.67517,0.72847,27.0,0.085339,-1.198865,0.80935,0.75483,0.815052,27.0,0.74065,0.67517,0.742637,27.0,1
27,120,9,0.788091508,1800,4,6901,242.0,652.0,122.05,120.45,14,0.735,0.7049,1014197,0.735,0.7049,0.4853,0.7288,0.7611,0.7611,1830510000.0,86,53,924500.0,86.0,86.0,106.0,95.18,86.0,0.9053,0,0,0,32,0,0,0.67245,0.68441,0.762325,32.0,0.079714,-1.190926,0.74055,0.74499,0.840828,32.0,0.69245,0.68441,0.794253,32.0,0
28,120,9,0.277108805,1800,4,79649,3770.0,743.0,123.38,120.3,14,0.8049,0.8049,2491476,0.8049,0.7984,0.5803,0.8182,0.934,0.8839,2169039708.0,99,63,1195722.0,99.0,99.0,122.03,109.56,99.0,0.9612,0,0,0,15,0,0,0.7592,0.78856,0.757787,15.0,0.050459,-0.674224,0.847,0.9106,0.8376,15.0,0.76245,0.79441,0.77234,15.0,0
29,125,9,0.753886825,1800,4,82384,3715.0,2722.0,125.6,125.37,14,0.8083,0.7886,12169261,0.7886,0.7823,0.5937,0.8291,0.8661,0.8661,2152779200.0,97,68,1223170.0,97.0,97.0,119.56,107.35,97.0,0.9898,0,0,0,9,0,0,0.77115,0.78407,0.7579,9.0,0.05753,0.523483,0.85305,0.86949,0.8339,9.0,0.7843,0.78974,0.760111,9.0,0
30,128,9,0.945290967,1800,4,1775,769.0,2200.0,126.34,128.09,14,0.8051,0.7661,17173040,0.7724,0.7661,0.6196,0.7724,0.8559,0.8482,1793899250.0,95,59,1173250.0,95.0,95.0,107.2,100.73,95.0,0.9048,0,0,0,18,0,0,0.79305,0.76949,0.761867,18.0,0.075669,-0.99528,0.87795,0.86031,0.847917,18.0,0.81305,0.77949,0.772283,18.0,0
31,125,9,0.123883578,1800,4,78920,3060.0,1251.0,130.47,126.89,14,0.7581,0.7581,71473,0.7642,0.7581,0.6812,0.7642,0.8468,0.8393,1976365792.0,94,68,1290056.0,94.0,94.0,94.0,94.0,94.0,0.9691,0,0,0,16,0,0,0.74905,0.75229,0.760331,16.0,0.035657,1.070042,0.8334,0.84212,0.858738,16.0,0.78905,0.77229,0.78645,16.0,0
32,116,9,0.479759679,1800,4,75019,2618.0,886.0,120.06,116.73,14,0.8,0.7805,51408,0.7805,0.7742,0.6035,0.8421,0.8727,0.8571,1759887360.0,96,54,1142784.0,96.0,96.0,118.33,106.24,96.0,0.96,0,0,0,9,0,0,0.7471,0.77678,0.704989,9.0,0.087506,-0.767658,0.85635,0.87543,0.778167,9.0,0.75025,0.78245,0.705689,9.0,0
33,124,9,0.692377922,1800,4,13641,7202.0,1320.0,126.19,124.63,14,0.8393,0.8393,1947650,0.8103,0.7581,0.5928,0.8319,0.8545,0.8468,2411105828.0,94,62,1157516.0,94.0,94.0,94.0,94.0,94.0,0.9691,0,0,0,18,0,0,0.73905,0.75229,0.768,18.0,0.063276,0.183879,0.83725,0.84905,0.834583,18.0,0.79965,0.82537,0.784922,18.0,0
34,119,9,0.133329597,1800,4,81224,8237.0,264.0,128.88,120.96,14,0.6048,0.6048,16087,0.6098,0.6048,0.4069,0.6098,0.6757,0.6696,1180597500.0,75,18,770625.0,75.0,75.0,75.0,75.0,75.0,0.7732,0,0,0,25,0,0,0.6324,0.61432,0.724385,26.0,0.158082,-1.540085,0.69785,0.68813,0.792535,26.0,0.6424,0.61432,0.733727,26.0,0
35,127,9,0.022610604,1800,4,10845,6865.0,2025.0,126.04,126.72,14,0.7456,0.7265,4650352,0.6911,0.6855,0.4348,0.7328,0.7589,0.7522,1576784000.0,85,30,895900.0,85.0,85.0,104.77,94.07,85.0,0.7944,0,0,0,9,0,0,0.73275,0.69695,0.7656,9.0,0.043089,-0.779619,0.81945,0.77301,0.8478,9.0,0.76325,0.73385,0.776911,9.0,0
36,128,9,0.111764642,1800,4,14629,3169.0,1409.0,127.23,127.31,14,0.6,0.6,1977767,0.576,0.576,0.316,0.6102,0.6154,0.6154,1368576000.0,72,53,622080.0,72.0,72.0,100.76,84.74,72.0,0.8675,0,0,0,12,0,0,0.668,0.5984,0.74335,12.0,0.066188,-1.07811,0.7377,0.64386,0.814525,12.0,0.71,0.62,0.759783,12.0,0
37,120,9,0.568806834,1800,4,13026,4567.0,264.0,121.81,120.3,14,0.656,0.656,542244,0.656,0.656,0.4201,0.6949,0.7387,0.7387,1819514400.0,82,28,827052.0,82.0,82.0,114.76,96.51,82.0,0.8367,0,0,0,12,0,0,0.718,0.6704,0.72735,12.0,0.056379,-0.507564,0.79935,0.74483,0.816192,12.0,0.728,0.6704,0.739983,12.0,0
38,125,9,0.522164485,2200,4,77014,1157.0,8588.0,123.63,125.11,13,0.728,0.728,3839832,0.728,0.728,0.5342,0.7712,0.7913,0.7913,2313711400.0,91,70,1051687.0,91.0,91.0,127.35,107.11,91.0,0.9681,0,0,0,5,0,0,0.714,0.7252,0.71192,5.0,0.07396,-0.966185,0.78565,0.79217,0.79242,5.0,0.714,0.7252,0.7205,5.0,0
39,121,9,0.246969035,2200,4,85131,471.0,9480.0,118.91,120.37,13,0.875,0.8448,282217,0.8305,0.8305,0.5825,0.9074,0.9159,0.8673,2649551520.0,98,70,1094856.0,98.0,98.0,120.79,108.46,98.0,0.9703,0,0,0,9,0,0,0.76525,0.81745,0.730556,9.0,0.049439,0.953643,0.84795,0.90431,0.804,9.0,0.7724,0.83032,0.737267,9.0,0
40,116,9,0.712800253,2200,4,76973,5951.0,217.0,118.75,116.19,13,0.7059,0.672,1006324,0.672,0.672,0.4193,0.6774,0.7636,0.7304,1814563296.0,84,53,825552.0,84.0,84.0,103.54,92.96,84.0,0.9333,0,0,0,3,0,0,0.676,0.6748,0.681,3.0,0.006237,-1.558255,0.7718,0.76724,0.7755,3.0,0.686,0.6748,0.688467,3.0,0
41,116,9,0.784987907,2200,4,2496,3536.0,597.0,118.6,116.13,13,0.6723,0.64,3828927,0.64,0.64,0.3771,0.678,0.6957,0.6957,1633280000.0,80,40,742400.0,80.0,80.0,111.96,94.16,80.0,0.8511,0,0,0,5,0,0,0.66,0.646,0.67144,5.0,0.029806,0.54163,0.74785,0.70613,0.76226,5.0,0.68,0.646,0.71034,5.0,0
42,122,9,0.47474611,2200,4,627,4116.0,5695.0,124.5,122.67,13,0.8,0.7805,3028126,0.7805,0.7742,0.577,0.8067,0.9057,0.8571,2118555648.0,96,68,1188864.0,96.0,96.0,96.0,96.0,96.0,1.0,0,0,0,5,0,0,0.7371,0.76678,0.72462,5.0,0.032954,0.197437,0.84285,0.89513,0.81458,5.0,0.75025,0.77245,0.73992,5.0,0
43,125,9,0.255858735,2200,4,13317,6866.0,2796.0,125.74,125.19,13,0.8067,0.768,6496929,0.768,0.768,0.5945,0.768,0.8727,0.8348,2628790272.0,96,67,1170432.0,96.0,96.0,118.33,106.24,96.0,0.9796,0,0,0,10,0,0,0.764,0.7712,0.73429,10.0,0.03447,-0.68645,0.86635,0.87543,0.81318,10.0,0.774,0.7712,0.73865,10.0,0
44,119,9,0.739879085,2200,4,85793,770.0,2723.0,121.32,119.29,13,0.7097,0.7097,820200,0.7154,0.7097,0.4948,0.7586,0.8,0.7857,1443016960.0,88,50,937024.0,88.0,88.0,88.0,88.0,88.0,0.8889,0,0,0,8,0,0,0.70485,0.70873,0.696838,8.0,0.069318,-0.848942,0.8,0.8,0.762463,8.0,0.71485,0.70873,0.704575,8.0,0
45,130,9,0.800925026,2200,4,83607,3680.0,1573.0,129.5,129.9,13,0.7541,0.7541,1163340,0.748,0.7419,0.5766,0.748,0.7931,0.7931,1681458240.0,92,66,1091856.0,92.0,92.0,92.0,92.0,92.0,0.8846,0,0,0,3,0,0,0.72095,0.73771,0.712333,3.0,0.02673,-0.860165,0.77655,0.79379,0.7725,3.0,0.72705,0.74869,0.718233,3.0,0
46,117,9,0.796425089,2200,4,13026,3771.0,589.0,120.86,117.73,13,0.5565,0.5565,1686653,0.561,0.5565,0.3118,0.5948,0.6273,0.6161,909160560.0,69,6,590364.0,69.0,69.0,69.0,69.0,69.0,0.697,0,0,0,11,0,0,0.61825,0.57085,0.692655,11.0,0.08319,-1.138558,0.69365,0.64457,0.761827,11.0,0.63825,0.57085,0.702409,11.0,0
47,125,9,0.843724717,2200,4,393,7544.0,4545.0,126.0,125.4,13,0.8596,0.7967,18422844,0.8033,0.7538,0.6006,0.8376,0.9159,0.8522,3306080960.0,98,66,1248520.0,98.0,98.0,137.15,115.35,98.0,0.9333,0,0,0,6,0,0,0.7169,0.73842,0.707017,6.0,0.056222,-0.677302,0.84795,0.89431,0.808867,6.0,0.74835,0.78703,0.723083,6.0,0
48,128,9,0.632823477,2200,4,6901,4568.0,1499.0,127.69,127.83,13,0.728,0.728,3023093,0.728,0.728,0.53,0.7339,0.7913,0.7778,2272538268.0,91,65,1043406.0,91.0,91.0,120.25,104.17,91.0,0.9286,0,0,0,4,0,0,0.724,0.7252,0.72835,4.0,0.02136,1.224846,0.80565,0.79217,0.8104,4.0,0.724,0.7252,0.7312,4.0,0
49,125,9,0.920033032,2200,4,78920,3061.0,3140.0,125.19,125.0,13,0.784,0.784,1565370,0.784,0.784,0.6098,0.8305,0.9074,0.8522,2649503500.0,98,82,1200500.0,98.0,98.0,129.5,112.18,98.0,0.9899,0,0,0,4,0,0,0.762,0.7856,0.738325,4.0,0.050758,-1.068973,0.8637,0.89666,0.824125,4.0,0.772,0.7856,0.7609,4.0,0
50,122,9,0.451065385,2200,4,8563,631.0,2547.0,125.07,122.61,13,0.8684,0.8049,9383293,0.8115,0.7615,0.6035,0.8462,0.9252,0.8609,3321990144.0,99,66,1254528.0,99.0,99.0,138.55,116.52,99.0,0.9429,0,0,0,4,0,0,0.76075,0.76535,0.7569,4.0,0.01235,1.136764,0.8826,0.92268,0.855025,4.0,0.80245,0.80441,0.80165,4.0,1
51,139,10,0.825400918,3800,4,13317,24.0,99.0,131.48,136.88,15,0.7043,0.7043,1686653,0.7043,0.675,0.3949,0.7364,0.7431,0.7431,2344363398.0,81,30,767637.0,81.0,81.0,81.0,81.0,81.0,0.8804,0,0,0,80,0,0,0.6275,0.6575,0.802684,80.0,0.076117,-1.176215,0.69155,0.71879,0.87713,80.0,0.65215,0.68387,0.82508,80.0,0
52,144,10,0.589793121,3800,4,8563,197.0,1604.0,132.13,141.77,15,0.8407,0.819,9399237,0.812,0.812,0.6018,0.8261,0.8407,0.8407,3875696000.0,95,44,1101050.0,95.0,95.0,132.95,111.81,95.0,0.9314,0,0,0,39,0,0,0.826,0.8208,0.743351,39.0,0.180656,-1.522188,0.89035,0.85663,0.824515,39.0,0.8295,0.8271,0.765259,39.0,0
53,142,10,0.722167101,3800,4,13317,,596.0,129.26,139.48,15,0.7652,0.7652,3840048,0.7652,0.7333,0.4661,0.8,0.8073,0.8073,2767070592.0,88,46,906048.0,88.0,88.0,88.0,88.0,88.0,0.9565,0,0,0,60,0,0,0.78665,0.73997,0.80189,58.0,0.127923,-1.623226,0.85365,0.81657,0.884025,60.0,0.8126,0.77868,0.82055,58.0,0
54,137,10,0.734429938,3800,4,14184,9.0,2305.0,127.47,134.94,15,0.7833,0.7642,988487,0.7642,0.7581,0.4975,0.7833,0.8704,0.8393,1818307424.0,94,48,1024976.0,94.0,94.0,94.0,94.0,94.0,0.9307,0,0,0,41,0,0,0.74905,0.75229,0.732946,41.0,0.063009,-0.799493,0.8752,0.87336,0.835918,40.0,0.7621,0.76778,0.751451,41.0,0
55,139,10,0.741934429,3800,4,13699,10.0,492.0,129.92,136.81,15,0.6525,0.626,822645,0.6311,0.5923,0.3309,0.6696,0.6696,0.6696,1815696960.0,77,5,687764.0,77.0,77.0,107.76,90.63,77.0,0.7476,0,0,0,11,0,0,0.65615,0.60307,0.694027,11.0,0.080446,-0.913493,0.7548,0.68264,0.795345,11.0,0.703,0.6434,0.725764,11.0,0
56,154,10,0.102262752,3800,4,83247,50.0,1085.0,143.39,151.5,15,0.823,0.8017,50274,0.7949,0.7949,0.6098,0.7949,0.8611,0.823,3927337920.0,93,60,1115721.0,93.0,93.0,93.0,93.0,93.0,0.93,0,0,0,39,0,0,0.78745,0.79541,0.77419,39.0,0.09323,-0.699059,0.87055,0.86499,0.859023,39.0,0.81085,0.81153,0.800918,39.0,0
57,144,10,0.964468661,3800,4,2456,199.0,4948.0,133.2,141.79,15,0.7257,0.7069,870659,0.7009,0.7009,0.4483,0.713,0.7257,0.7257,2887554560.0,82,12,820328.0,82.0,82.0,114.76,96.51,82.0,0.8039,0,0,0,69,0,0,0.74045,0.71081,0.697707,69.0,0.21361,-1.347866,0.80285,0.74313,0.8368,64.0,0.77345,0.72621,0.724419,69.0,0
58,150,10,0.626193987,3800,4,78149,66.0,493.0,135.23,146.17,15,0.8376,0.8376,228268,0.8376,0.8376,0.6164,0.8376,0.8829,0.8829,3003372484.0,98,56,1046836.0,98.0,98.0,137.15,115.35,98.0,0.9333,0,0,0,15,0,0,0.8188,0.83384,0.771173,15.0,0.095315,-0.944162,0.87145,0.87461,0.849267,15.0,0.8388,0.83384,0.798573,15.0,0
59,147,10,0.32821385,3800,4,83445,6.0,5767.0,140.74,145.66,15,0.8318,0.7807,2587882,0.7607,0.7607,0.5801,0.7739,0.8396,0.8018,3736177280.0,89,38,1061414.0,89.0,89.0,136.49,109.5,89.0,0.89,0,0,0,15,0,0,0.76035,0.76463,0.682293,15.0,0.199305,-1.178706,0.8398,0.84564,0.741833,15.0,0.78035,0.78263,0.69756,15.0,0
60,139,10,0.788616332,3800,4,81224,50.0,323.0,132.65,138.0,15,0.8785,0.8468,800087,0.8174,0.7833,0.5909,0.8785,0.9691,0.8952,3508068720.0,94,45,1148680.0,94.0,94.0,94.0,94.0,94.0,0.9495,0,0,0,30,0,0,0.78165,0.78497,0.736857,30.0,0.050122,0.236267,0.90455,0.95219,0.827083,30.0,0.8134,0.84212,0.74936,30.0,0
61,156,10,0.306300727,3800,4,627,58.0,5769.0,142.96,153.56,15,0.6508,0.6508,10453817,0.6721,0.6308,0.427,0.7321,0.7455,0.713,2343179520.0,82,36,887568.0,82.0,82.0,114.76,96.51,82.0,0.8367,0,0,0,9,0,0,0.6954,0.64772,0.671344,9.0,0.099427,-0.882894,0.82275,0.76095,0.779644,9.0,0.7354,0.67572,0.699011,9.0,0
62,157,10,0.402883917,3800,4,78410,287.0,1457.0,139.65,153.61,15,0.9143,0.8496,408301,0.8421,0.8205,0.6287,0.8276,0.8807,0.8807,3732839424.0,96,61,1133568.0,96.0,96.0,96.0,96.0,96.0,0.9796,0,0,0,14,0,0,0.78025,0.81845,0.685757,14.0,0.104273,-0.72169,0.85035,0.88263,0.758871,14.0,0.8048,0.84464,0.693964,14.0,0
63,146,10,0.943761374,3800,4,14213,19.0,2046.0,131.95,142.87,15,0.8182,0.7826,3198072,0.7826,0.75,0.475,0.75,0.8411,0.8182,2844072000.0,90,51,923400.0,90.0,90.0,125.96,105.93,90.0,0.9574,0,0,0,7,0,0,0.745,0.745,0.706957,7.0,0.082706,-0.864001,0.85055,0.84699,0.8005,7.0,0.7813,0.78434,0.746671,7.0,0
64,153,10,0.82934835,3800,4,78149,105.0,2724.0,142.82,150.53,15,0.7857,0.7586,542244,0.7521,0.7521,0.5375,0.7652,0.7928,0.7719,3461877760.0,88,38,983488.0,88.0,88.0,134.95,108.27,88.0,0.8713,0,0,0,4,0,0,0.75605,0.75689,0.757575,4.0,0.010248,-2.900445,0.7964,0.79352,0.790025,4.0,0.7793,0.76274,0.785325,4.0,1
65,150,10,0.615567628,3800,4,80600,41.0,13.0,139.38,148.14,15,0.4766,0.4595,248242,0.4435,0.425,0.1739,0.4636,0.4679,0.4679,1041440400.0,51,0,338130.0,51.0,51.0,71.37,60.03,51.0,0.4904,0,0,0,3,0,0,0.6025,0.4625,0.658,3.0,0.16644,-0.860912,0.64395,0.50111,0.710667,3.0,0.62975,0.49355,0.679,3.0,0
66,135,9,0.124837363,1800,4,81166,1262.0,485.0,127.31,132.92,8,0.8205,0.7869,687076,0.8205,0.7869,0.5466,0.7869,0.8807,0.8571,2061987840.0,96,48,1041408.0,96.0,96.0,126.85,109.89,96.0,0.8649,0,0,0,14,0,0,0.77345,0.77821,0.72995,14.0,0.056583,-0.834212,0.85035,0.87263,0.796279,14.0,0.77345,0.77821,0.737121,14.0,0
